date,state_id,state_name,commodity_name,avg_modal_price,avg_min_price,avg_max_price,district_name,calculationType,change,commodity_standardized,paddy,ragi,jowar,moongdal,max_temp,min_temp,avg_temp,rainfall,max_windspeed,min_windspeed,mean_windspeed,summer,rainy,winter
01-01-2021,36,Telangana,Paddy(Dhan)(Common),2199.57,2167.533778,2238.937488,All,Daily,0.0,paddy,1,0,0,0,24.7,17.8,20.9,0.0,9.4,0.8,4.7,0,0,1
02-01-2021,36,Telangana,Paddy(Dhan)(Common),2188.11,2134.673518,2234.975659,All,Daily,-11.46,paddy,1,0,0,0,26.7,15.0,20.8,0.0,9.5,0.5,6.8,0,0,1
03-01-2021,36,Telangana,Paddy(Dhan)(Common),2205.36,2144.274482,2242.934633,All,Daily,17.25,paddy,1,0,0,0,26.2,16.0,20.7,0.0,11.2,0.8,6.4,0,0,1
04-01-2021,36,Telangana,Paddy(Dhan)(Common),2142.54,2075.694839,2209.922534,All,Daily,-62.82,paddy,1,0,0,0,27.0,17.0,21.5,0.0,17.8,0.8,8.5,0,0,1
05-01-2021,36,Telangana,Paddy(Dhan)(Common),2221.7,2182.212336,2275.579717,All,Daily,79.16,paddy,1,0,0,0,29.0,18.0,22.9,0.0,10.6,2.4,6.8,0,0,1
06-01-2021,36,Telangana,Paddy(Dhan)(Common),2245.69,2200.053154,2291.177238,All,Daily,23.99,paddy,1,0,0,0,25.1,20.9,22.4,0.5,9.2,0.8,5.7,0,0,1
07-01-2021,36,Telangana,Paddy(Dhan)(Common),2210.15,2170.961726,2265.128942,All,Daily,-35.54,paddy,1,0,0,0,26.9,19.0,22.9,0.2,11.3,0.8,5.5,0,0,1
08-01-2021,36,Telangana,Paddy(Dhan)(Common),2233.6,2175.804441,2277.380972,All,Daily,23.45,paddy,1,0,0,0,29.0,20.0,23.7,0.0,11.2,1.1,7.3,0,0,1
09-01-2021,36,Telangana,Paddy(Dhan)(Common),2164.04,2106.265927,2229.954708,All,Daily,-69.56,paddy,1,0,0,0,28.1,19.9,23.6,0.0,11.0,0.5,6.7,0,0,1
10-01-2021,36,Telangana,Paddy(Dhan)(Common),2153.74,2086.535976,2197.583311,All,Daily,-10.3,paddy,1,0,0,0,29.3,19.0,23.9,0.0,11.0,0.5,6.4,0,0,1
